HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,deadLockThreads,fileDescriptors,free_disk_space,gc,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesReceived,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize,usedSwapSpaceSize
1,0,1,23,2,0,89,27520400000,0,6201,0,1,405,314,1574,14,0.493827,2,0,0,6201,8054,7,0.17,26,1,0,8863950,10,84951500,58487700,1087430000,0
1,0,1,27,3,0,88,27519500000,0,6606,0,3,380,107,1601,14,0,2,0,1,6606,8054,7,0.1,26,1,0,8057100,10,74036100,58487700,1088180000,0
1,0,6,31,3,0,88,27518700000,0,6986,0,3,398,188,1591,14,0.251256,2,0,0,6986,8054,7,0.07,26,6,0,8475600,10,99436700,58518200,1089470000,0
2,0,9,32,3,0,94,27517900000,0,7384,0,4,391,424,1592,14,0.511509,2,0,2,7384,8054,7,0.21,26,9,0,8675750,10,77793500,58518200,1091380000,0
2,0,3,28,2,0,96,27517100000,0,7775,0,6,337,554,1640,14,0,2,0,3,7775,8054,7,0.18,26,3,0,8959880,10,100509000,58521900,1092680000,0
2,0,1,28,2,0,89,27516600000,0,8112,0,6,358,488,1615,14,0.837989,2,0,4,8112,8054,7,0.29,26,1,0,8671710,10,87108300,58521900,1092790000,0
2,0,1,29,2,0,90,27516300000,0,8470,0,9,407,216,1601,15,0.737101,2,0,5,8470,8054,7,0.11,26,1,0,8505760,10,78066200,58521900,1092680000,0
2,0,1,30,2,0,90,27515800000,0,8877,0,12,438,85,1571,15,0,2,0,8,8877,8055,7,0.21,26,1,0,8628150,10,82600900,58523700,1093700000,0
2,0,4,34,3,0,86,27515200000,0,9315,0,12,433,81,1563,15,0,2,0,8,9315,8055,7,0.21,26,4,0,8210580,10,101697000,58523700,1094330000,0
2,0,6,31,3,0,95,27514600000,0,9748,0,12,431,188,1502,15,0.232019,2,0,8,9748,8055,7,0.18,26,6,0,8831360,10,79061700,58523700,1095910000,0
2,0,4,31,3,0,89,27513900000,0,10179,0,13,402,278,1532,15,0.497512,2,0,9,10179,8055,7,0.34,26,4,0,8550040,10,91277400,58524800,1099520000,0
2,0,2,30,2,0,94,27513400000,0,10581,0,15,354,488,1512,15,1.41243,2,0,12,10581,8055,7,0.27,26,3,0,8683050,10,97570000,58553000,1099830000,0
2,0,2,26,2,0,91,27512900000,0,10935,0,20,402,345,1521,15,0.746269,2,0,15,10935,8055,7,0.21,26,2,0,8551580,10,99735500,58553000,1102660000,0
2,0,0,26,2,0,84,27512300000,0,11337,0,23,417,143,1523,15,0,2,0,18,11337,8055,8,0.57,26,0,0,8527200,10,90902700,58553000,1103220000,0
2,0,1,30,3,0,81,27511900000,0,11754,0,23,472,12,1507,16,0,2,0,18,11754,8055,7,0.56,26,1,0,8315740,10,76371800,58553000,1103820000,0
2,0,6,29,3,0,90,27511000000,0,12226,0,23,491,122,1532,16,0,2,0,18,12226,8055,7,0.58,26,6,0,8478920,10,79951400,58553000,1105620000,0
2,0,1,33,3,0,87,27510000000,0,12717,0,23,353,469,1591,15,0,2,0,18,12717,8055,7,0.21,26,1,0,8616510,10,98872200,58553000,1108960000,0
