HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,fileDescriptors,free_disk_space,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
2,0,0,14,3,198,25301000000,31205,2,11,433,85,1584,15,0,2,0,5,31207,8826,7,0.14,29,0,8357090,134,415711000,70796600,1839450000
2,0,0,12,4,199,25300000000,31638,2,11,487,21,1611,15,0,2,0,5,31640,8826,7,0.24,29,0,8307840,135,362755000,70797100,1840560000
2,0,1,13,3,198,25298900000,32125,2,11,380,104,1658,15,0,2,0,5,32127,8826,7,0.22,29,1,8308360,135,328552000,70797100,1841890000
2,0,3,13,2,201,25298400000,32505,2,11,343,156,1630,15,0,2,0,5,32507,8826,7,0.14,29,3,8281560,134,351320000,70797100,1842630000
2,0,0,17,2,215,25297400000,32848,2,11,351,368,1651,15,0,2,0,5,32850,8826,7,0.09,29,0,8640550,144,361725000,70797100,1843870000
2,0,3,21,2,213,25296600000,33199,2,11,339,372,1636,15,0.294985,2,0,5,33201,8826,7,0.12,29,3,8137990,144,418188000,70797100,1845070000
2,0,0,19,2,205,25296100000,33538,2,12,374,198,1611,15,0,2,0,5,33540,8826,8,0.1,29,0,8458500,137,407140000,70818900,1845570000
2,0,1,22,2,204,25295200000,33912,2,12,390,211,1636,15,0,2,0,5,33914,8826,7,0.07,29,1,8246320,134,397261000,70818900,1846730000
2,0,2,21,2,206,25294800000,34302,2,12,427,120,1640,15,0,2,0,5,34304,8826,7,0.17,29,2,8170910,134,371544000,70818900,1847180000
2,0,0,21,2,206,25294300000,34729,2,12,407,255,1615,15,0,2,0,5,34731,8826,7,0.25,29,0,8582410,134,389409000,70818900,1847750000
2,0,2,25,3,205,25293300000,35136,2,12,325,443,1637,15,0,2,0,5,35138,8826,7,0.34,29,2,8187030,134,309954000,70818900,1849040000
2,0,3,27,3,208,25292400000,35461,2,12,383,269,1616,15,0,2,0,5,35463,8826,7,0.2,29,3,8367310,134,425393000,70818900,1850450000
2,0,5,24,2,205,25291800000,35844,2,12,364,459,1604,15,0.549451,2,0,5,35846,8826,7,0.18,29,5,8345940,134,328243000,70818900,1850690000
2,0,2,26,2,211,25291200000,36208,2,14,399,321,1601,15,0.250627,2,0,7,36210,8826,7,0.23,29,2,8423630,134,360902000,70824300,1851550000
2,0,3,26,3,207,25290400000,36607,2,15,451,162,1592,15,0.221729,2,0,7,36609,8826,7,0.2,29,3,8300820,134,371986000,70826000,1852570000
2,0,2,22,2,205,25289700000,37058,2,16,403,320,1595,15,0,2,0,9,37060,8826,8,0.11,29,2,8377050,134,414309000,70826600,1853410000
2,0,0,22,2,204,25289300000,37461,2,16,388,340,1593,15,0.515464,2,0,9,37463,8826,7,0.09,29,0,8413060,134,387690000,70826900,1853780000
2,0,1,23,2,206,25288600000,37849,2,18,379,192,1590,15,0.263852,2,0,10,37851,8826,7,0.06,29,1,8088330,134,338784000,70826900,1854450000
2,0,1,19,2,203,25288200000,38228,2,19,446,93,1591,16,0.224215,2,0,11,38230,8826,7,0.22,29,1,8241200,134,330217000,70827500,1855080000
2,0,2,23,2,208,25287400000,38674,2,20,424,235,1579,16,0,2,0,12,38676,8826,7,0.08,29,2,8415020,137,406644000,70842800,1856140000
2,0,1,22,3,212,25286500000,39098,2,20,431,173,1551,15,0.232019,2,0,12,39100,8826,7,0.22,29,1,8369660,137,334820000,70849000,1857020000
2,0,2,18,3,203,25285600000,39529,2,21,398,504,1530,15,0,2,0,13,39531,8826,7,0.08,29,2,8321120,135,388565000,70850000,1858000000
2,0,0,20,2,205,25284700000,39927,2,21,383,164,1534,14,0,2,0,13,39929,8826,7,0.11,29,0,8476910,135,373271000,70858700,1859250000
2,0,1,21,2,207,25284100000,40310,2,21,438,121,1480,14,0.22831,2,0,12,40312,8826,7,0.08,29,1,8278800,137,385859000,70858900,1859850000
